cell;passage;Dhat;mode;type;age
WJ1;9;1,9941;Dlc;Db;young
WJ1;28;1,9062;Dlc;Db;middle
WJ1;28;1,9493;Dlc;Db;middle
WJ1;28;1,928;Dlc;Db;middle
WJ1;28;1,9004;Dlc;Db;middle
WJ1;28;1,9266;Dlc;Db;middle
WJ1;28;1,6591;Dlc;Db;middle
WJ1;28;1,8926;Dlc;Db;middle
WJ1;28;1,6228;Dlc;Db;middle
WJ1;28;1,6596;Dlc;Db;middle
WJ1;28;1,6498;Dlc;Db;middle
WJ1;28;1,8563;Dlc;Db;middle
WJ1;28;1,9482;Dlc;Db;middle
WJ1;28;1,9523;Dlc;Db;middle
WJ1;28;1,8049;Dlc;Db;middle
WJ1;28;1,986;Dlc;Db;middle
WJ1;28;1,9222;Dlc;Db;middle
WJ1;28;1,6589;Dlc;Db;middle
WJ1;28;1,9062;Dlc;Db;middle
WJ1;28;1,9493;Dlc;Db;middle
WJ1;28;1,928;Dlc;Db;middle
WJ1;28;1,9004;Dlc;Db;middle
WJ1;28;1,9266;Dlc;Db;middle
WJ1;28;1,6591;Dlc;Db;middle
WJ1;28;1,8926;Dlc;Db;middle
WJ1;28;1,6228;Dlc;Db;middle
WJ1;28;1,6596;Dlc;Db;middle
WJ1;9;1,9699;Dlc;Db;young
WJ1;9;1,8384;Dlc;Db;young
WJ1;9;1,9098;Dlc;Db;young
WJ1;9;1,904;Dlc;Db;young
WJ1;9;1,9028;Dlc;Db;young
WJ1;9;1,9019;Dlc;Db;young
WJ1;9;1,9693;Dlc;Db;young
WJ1;9;1,8415;Dlc;Db;young
WJ1;9;1,8149;Dlc;Db;young
WJ1;9;1,896;Dlc;Db;young
WJ1;9;1,8598;Dlc;Db;young
WJ1;9;1,9848;Dlc;Db;young
WJ1;9;1,8889;Dlc;Db;young
WJ1;9;1,8288;Dlc;Db;young
WJ1;28;1,6962;Dlc;Db;old
WJ1;28;1,8928;Dlc;Db;old
WJ1;28;1,6055;Dlc;Db;old
WJ1;28;1,6319;Dlc;Db;old
WJ1;28;1,9286;Dlc;Db;old
WJ1;28;1,6928;Dlc;Db;old
WJ1;28;1,9596;Dlc;Db;old
WJ1;28;1,9904;Dlc;Db;old
WJ1;28;1,6883;Dlc;Db;old
WJ1;28;1,8152;Dlc;Db;old
WJ1;28;1,9015;Dlc;Db;old
WJ1;28;1,6498;Dlc;Db;middle
WJ1;28;1,8563;Dlc;Db;middle
WJ1;28;1,9482;Dlc;Db;middle
WJ1;28;1,9523;Dlc;Db;middle
WJ1;28;1,8049;Dlc;Db;middle
WJ1;28;1,986;Dlc;Db;middle
WJ1;28;1,9222;Dlc;Db;middle
WJ1;28;1,6589;Dlc;Db;middle
WJ1;28;1,828;Dlc;Db;old
WJ1;28;1,8451;Dlc;Db;old
WJ1;28;1,8428;Dlc;Db;old
WJ1;28;1,8145;Dlc;Db;old
WJ1;9;1,5439;Dlc;Db;young
WJ1;9;1,8615;Dlc;Db;young
WJ1;9;1,8289;Dlc;Db;young
